row,t1_level,t2_level,t2_lag,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,trial,trial_type,global_letters,local_letters,t1_pos,t1,t2,t1_corr,t2_corr,t1_resp,t1_acc,t1_rt,t2_resp,t2_acc,t2_rt,exp,ver,mod-utc,sub,sess,blocktyp,datetime
7,global,local,0,0,0,0,6,,,1,exp,FEFEHNSZTUUNZLT,ZESTYSTFLULNNEU,5,H,absent,hH,nN,h,1,0.3899498,n,1,0.1041428,RSVPLG01,0.94,2023-09-13-22:05:05,972,2,Practice2,2023-09-13_15h52.00.203
4,local,global,0,0,1,1,3,,,2,exp,EEUFLTFSYUNTHSN,NFUNZTYSTHUEHFE,5,Z,absent,zZ,nN,z,1,0.3875665,n,1,0.2680438,RSVPLG01,0.94,2023-09-13-22:05:05,972,2,Practice2,2023-09-13_15h52.00.203
1,local,local,0,0,2,2,0,,,3,exp,NULYFUZFNTSZHHS,TNUEFZZHTHLFLNS,4,E,absent,eE,nN,e,1,0.420299,n,1,0.1224962,RSVPLG01,0.94,2023-09-13-22:05:05,972,2,Practice2,2023-09-13_15h52.00.203
8,global,local,2,0,3,3,7,,,4,exp,LSFYEFZTNYTZLSU,YFNUHSXNZFTYLTZ,5,E,X,eE,yY,f,0,0.3433531,n,0,0.1361557,RSVPLG01,0.94,2023-09-13-22:05:05,972,2,Practice2,2023-09-13_15h52.00.203
5,local,global,2,0,4,4,4,,,5,exp,SLEZYNXZUNETLFU,ZLFUHETFNSTSLUE,5,H,X,hH,yY,h,1,0.8065616,n,0,0.2035999,RSVPLG01,0.94,2023-09-13-22:05:05,972,2,Practice2,2023-09-13_15h52.00.203
3,local,local,7,0,5,5,2,,,6,exp,LHLFEYSUSYNHEZZ,NHUTESLYZZXUNSL,4,T,X,tT,yY,t,1,0.458359,n,0,0.1393495,RSVPLG01,0.94,2023-09-13-22:05:05,972,2,Practice2,2023-09-13_15h52.00.203
10,global,global,0,0,6,6,9,,,7,exp,YZTUYFEEFTNHSSN,TNELFNZSYFYHEZT,4,U,absent,uU,nN,u,1,0.3997552,n,1,0.1715094,RSVPLG01,0.94,2023-09-13-22:05:05,972,2,Practice2,2023-09-13_15h52.00.203
8,global,local,2,0,7,7,7,,,8,exp,YLTSHZYNFESFLTH,HTELHUYXFFNNSSY,6,Z,X,zZ,yY,z,1,0.4299445,n,0,0.1240844,RSVPLG01,0.94,2023-09-13-22:05:05,972,2,Practice2,2023-09-13_15h52.00.203
9,global,local,7,0,8,8,8,,,9,exp,UFYLTZUNFSZEYTE,UFUHTNEZENXSFYZ,4,L,X,lL,yY,l,1,0.3507494,y,1,0.2177834,RSVPLG01,0.94,2023-09-13-22:05:05,972,2,Practice2,2023-09-13_15h52.00.203
2,local,local,2,0,9,9,1,,,10,exp,NZYTUEFLSSYUELN,SUFHUXZEFZNEYSL,4,H,X,hH,yY,h,1,0.3637011,n,0,0.1070459,RSVPLG01,0.94,2023-09-13-22:05:05,972,2,Practice2,2023-09-13_15h52.00.203
